2026-08-19T00:35:16.404 [DEBUG] desktop_shell::map_webview: map_webview: 开始异步创建 WebView（page=BlockPreview, generation=4, 上报状态=true）
2026-08-19T00:35:16.610 [DEBUG] desktop_shell::map_webview: map_webview: notify_status(page=BlockPreview, generation=4, available=true)
2026-08-19T00:39:22.700 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:24.703 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:26.706 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:28.709 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:30.712 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:32.714 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:34.717 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:36.720 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:38.723 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:40.726 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:42.729 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:44.732 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:46.735 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:48.739 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":164,"blocks":0,"quads":0}}
2026-08-19T00:39:50.740 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":164,"blocks":0,"quads":0}}
2026-08-19T00:39:52.743 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:54.746 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:56.749 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:39:58.752 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:00.755 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:02.757 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:04.760 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:06.763 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:08.766 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
2026-08-19T00:40:10.769 [INFO ] desktop_shell::production::preview_entry: map_session: 3D 预览页 IPC：{"type":"preview_stats","payload":{"fps":165,"blocks":0,"quads":0}}
